UHRSWORK,INCWAGE,region,education_level,age,gender,race_group
33,27663,South,High_School,25,Female,White
50,65813,Northeast,Bachelor,53,Female,Asian
44,42531,Northeast,High_School,45,Male,Asian
28,42741,West,High_School,37,Male,Black
27,22860,West,Below_High_School,31,Female,White
43,55725,Midwest,Bachelor,22,Female,White
26,32209,West,High_School,34,Male,Black
41,49925,West,Some_College,43,Male,White
45,70378,West,Above_Bachelor,34,Male,Asian
34,14328,West,Below_High_School,57,Male,White
25,7893,West,Below_High_School,33,Male,Other
37,40225,Midwest,High_School,47,Male,White
31,19207,West,Below_High_School,62,Male,Other
22,18942,South,Below_High_School,25,Female,White
50,59835,South,Above_Bachelor,33,Female,Asian
31,19953,Northeast,Below_High_School,34,Female,Black
48,61569,West,Bachelor,43,Male,Black
38,31619,South,High_School,27,Male,White
28,38086,Northeast,High_School,62,Male,Asian
36,64223,Northeast,Bachelor,52,Male,Black
43,76292,South,Above_Bachelor,47,Male,Asian
32,29581,West,High_School,26,Female,Other
24,38395,West,High_School,40,Male,Other
26,26136,South,High_School,49,Female,Other
53,84700,Northeast,Above_Bachelor,59,Male,Black
42,52159,Midwest,Some_College,42,Male,Asian
42,68493,South,Above_Bachelor,23,Female,Other
38,31962,West,High_School,59,Female,Asian
35,24707,Midwest,Below_High_School,20,Female,Asian
31,26757,Midwest,High_School,32,Male,White
34,31815,West,High_School,63,Male,Other
38,46729,Northeast,High_School,37,Male,Asian
45,23198,Midwest,High_School,58,Female,White
34,34929,Midwest,Below_High_School,58,Male,Asian
44,60877,Northeast,Bachelor,37,Male,Black
38,84382,West,Above_Bachelor,43,Male,Asian
36,26763,South,High_School,30,Female,Black
39,55185,West,Bachelor,42,Male,Asian
39,39786,West,High_School,35,Female,Asian
41,45217,Midwest,Some_College,41,Female,White
32,37780,Midwest,High_School,28,Female,White
35,34966,Northeast,High_School,30,Female,White
31,18817,Midwest,Below_High_School,49,Male,Asian
43,30027,South,High_School,65,Male,White
37,31005,Northeast,High_School,38,Male,Black
43,34428,South,Some_College,25,Male,Other
34,35945,West,High_School,39,Female,Asian
18,10773,West,Below_High_School,32,Female,White
39,57945,West,Bachelor,64,Male,White
28,10817,Midwest,Below_High_School,53,Female,White
43,47413,Northeast,Some_College,40,Female,Black
43,39045,Midwest,Some_College,35,Female,White
29,17451,Midwest,Below_High_School,21,Male,White
34,34040,Midwest,High_School,51,Male,Black
42,34287,Northeast,High_School,53,Female,Black
44,18774,Midwest,Below_High_School,21,Male,Other
32,38358,Northeast,High_School,27,Male,White
23,19423,Northeast,Below_High_School,51,Female,Asian
41,49434,West,Some_College,35,Female,Black
38,39727,South,Some_College,42,Female,Black
28,17091,West,Below_High_School,27,Male,Asian
37,31382,Northeast,High_School,41,Female,Other
39,31977,Midwest,Some_College,18,Male,Other
27,20158,South,Below_High_School,27,Male,White
41,15904,South,High_School,35,Female,White
31,32409,West,High_School,20,Male,Black
38,39187,South,Bachelor,49,Female,White
42,49248,Midwest,Some_College,39,Male,Black
26,30668,Northeast,Below_High_School,43,Male,Asian
42,57743,West,Bachelor,51,Female,Asian
28,26788,Northeast,Below_High_School,30,Female,Other
32,17206,Midwest,Below_High_School,19,Female,White
33,35678,Midwest,High_School,63,Female,Black
49,71758,Midwest,Above_Bachelor,31,Female,White
31,19268,Midwest,Below_High_School,22,Female,Black
33,50645,South,Bachelor,21,Male,White
29,27460,Midwest,Below_High_School,50,Female,White
41,47148,Midwest,Some_College,42,Male,Asian
35,37997,Midwest,High_School,23,Female,Asian
35,34498,South,High_School,43,Male,Other
44,78059,West,Above_Bachelor,40,Female,Other
42,39103,Northeast,High_School,33,Male,Other
39,43872,South,Some_College,42,Female,Asian
34,38948,Midwest,High_School,44,Male,White
38,45594,Midwest,Some_College,42,Female,Black
29,30711,Midwest,High_School,30,Male,White
57,56584,South,Bachelor,44,Male,Other
31,34562,Northeast,High_School,37,Male,Other
41,35487,Midwest,High_School,51,Female,Asian
42,61601,Midwest,Bachelor,53,Male,Asian
33,23196,South,Below_High_School,60,Female,Other
26,16276,South,Below_High_School,65,Female,White
35,32117,Midwest,High_School,30,Male,White
35,32659,South,High_School,63,Male,Other
46,44141,Northeast,Some_College,43,Female,Black
42,38483,Midwest,Some_College,49,Female,Other
32,25542,Midwest,Below_High_School,57,Male,Other
22,21571,Midwest,Below_High_School,65,Male,White
24,15929,Midwest,Below_High_School,54,Male,White
35,28888,South,High_School,32,Female,White
35,34063,Northeast,High_School,48,Male,White
31,44428,Northeast,High_School,60,Female,White
43,32636,West,High_School,44,Female,White
31,53474,South,Bachelor,42,Male,Black
35,18113,South,Below_High_School,23,Male,White
16,24446,South,Below_High_School,40,Female,Black
28,23042,South,High_School,29,Male,White
32,34525,South,Some_College,64,Male,Other
36,47732,West,Some_College,48,Female,White
38,19976,West,Below_High_School,62,Male,Other
39,32847,West,High_School,36,Female,White
40,51067,South,Bachelor,52,Male,Other
27,36509,West,High_School,25,Male,White
33,62051,Midwest,Bachelor,38,Male,Black
35,54370,West,Some_College,20,Male,Other
43,48320,Northeast,High_School,51,Female,Other
24,24126,Northeast,Below_High_School,45,Female,Asian
38,42506,West,Some_College,20,Female,White
31,20320,Midwest,Below_High_School,37,Male,Asian
32,40813,Northeast,High_School,19,Female,White
27,26558,Midwest,Below_High_School,47,Male,Asian
39,27885,Midwest,High_School,61,Male,Other
37,37392,South,High_School,56,Male,Black
28,40583,South,High_School,56,Female,White
40,32576,Northeast,High_School,29,Female,White
36,48711,Midwest,Some_College,43,Female,Asian
38,33028,Midwest,High_School,61,Male,White
26,33315,West,High_School,58,Female,White
34,11569,Northeast,Below_High_School,25,Female,Black
35,87122,Midwest,Above_Bachelor,37,Male,White
21,20324,West,Below_High_School,47,Male,White
29,45388,Northeast,Some_College,28,Male,White
36,17167,Midwest,Below_High_School,43,Male,White
26,44108,Northeast,Some_College,33,Female,Other
33,15124,Midwest,Below_High_School,52,Male,White
38,25123,West,High_School,65,Male,White
29,32787,Midwest,High_School,47,Female,Asian
29,28815,Northeast,Below_High_School,47,Male,Black
41,43843,Northeast,High_School,47,Male,Other
35,33465,Midwest,High_School,31,Female,White
33,10938,West,Below_High_School,28,Female,White
29,27344,Midwest,Below_High_School,23,Female,Asian
39,42411,South,Bachelor,64,Female,White
30,16525,South,Below_High_School,62,Male,White
28,15601,West,Below_High_School,35,Female,White
21,24607,West,Below_High_School,52,Female,Other
46,56242,West,Bachelor,33,Female,White
48,40899,West,High_School,26,Female,Asian
33,35994,South,High_School,37,Male,Other
32,47799,Northeast,Some_College,44,Female,Other
36,41978,South,High_School,51,Male,Black
31,43809,South,Some_College,49,Female,White
30,34775,South,High_School,64,Female,White
39,44145,South,Some_College,38,Male,White
35,48467,Northeast,High_School,22,Male,White
31,28043,South,High_School,45,Male,Black
35,40801,West,High_School,44,Male,Asian
54,59725,Midwest,Bachelor,42,Male,White
22,25097,Northeast,Below_High_School,63,Female,Other
30,41083,Northeast,High_School,61,Female,Black
20,37372,Northeast,High_School,30,Male,White
39,30963,South,High_School,53,Male,Other
31,43350,West,High_School,30,Female,Asian
44,34996,West,High_School,47,Male,Other
38,36500,South,High_School,27,Male,Other
34,59999,West,Bachelor,65,Male,White
38,45774,Northeast,High_School,50,Male,Asian
41,41526,Midwest,Some_College,48,Female,Other
51,30239,South,Some_College,40,Female,White
40,57218,West,Bachelor,62,Female,White
