"UHRSWORK","INCWAGE","region","education_level","age","gender","race_group"
40,105000,"Northeast","Above_Bachelor",49,"Female","Asian"
50,85000,"South","Above_Bachelor",41,"Female","Black"
40,37000,"West","High_School",27,"Male","Other"
45,30000,"West","Below_High_School",45,"Female","Other"
36,44000,"Midwest","High_School",35,"Male","Asian"
40,76000,"South","Above_Bachelor",39,"Female","White"
40,45000,"Midwest","High_School",24,"Male","White"
7,61000,"South","Above_Bachelor",25,"Female","White"
40,65000,"Northeast","Above_Bachelor",25,"Male","White"
50,160000,"Northeast","Above_Bachelor",45,"Male","Other"
40,73000,"South","Bachelor",29,"Male","White"
10,1200,"South","Some_College",22,"Male","Black"
40,98000,"West","High_School",32,"Male","Asian"
25,14000,"West","Some_College",26,"Female","Other"
55,80000,"South","Bachelor",32,"Male","White"
40,46000,"West","High_School",37,"Female","White"
40,230000,"South","High_School",54,"Male","White"
45,75000,"South","High_School",30,"Male","White"
40,77000,"West","Above_Bachelor",40,"Male","Other"
55,28000,"West","High_School",20,"Male","White"
40,40000,"West","High_School",49,"Female","White"
25,21700,"Northeast","Some_College",52,"Female","White"
40,53000,"South","Bachelor",22,"Female","White"
40,45000,"Northeast","Some_College",37,"Female","White"
52,94000,"South","Some_College",32,"Male","White"
40,52000,"West","Above_Bachelor",29,"Female","Asian"
40,50000,"Midwest","High_School",63,"Female","White"
40,95000,"South","Bachelor",47,"Male","White"
50,4500,"South","High_School",57,"Male","White"
40,32000,"South","High_School",64,"Female","White"
70,770000,"Northeast","Above_Bachelor",39,"Female","White"
40,54000,"Northeast","High_School",65,"Male","White"
45,26000,"Midwest","High_School",21,"Male","White"
23,13000,"South","Some_College",55,"Male","Black"
40,70000,"South","Above_Bachelor",29,"Male","Asian"
40,83000,"West","Some_College",57,"Male","Black"
40,30000,"South","High_School",63,"Male","White"
40,45000,"Midwest","High_School",31,"Female","White"
40,65000,"West","Above_Bachelor",42,"Female","White"
12,9500,"Northeast","Below_High_School",45,"Female","White"
70,100000,"Midwest","Above_Bachelor",34,"Male","White"
40,36000,"West","Some_College",58,"Female","Asian"
35,24000,"Midwest","High_School",30,"Female","White"
40,48600,"South","High_School",45,"Male","White"
25,30000,"West","Some_College",22,"Female","White"
40,75000,"Northeast","Bachelor",50,"Female","White"
60,200000,"Northeast","Some_College",55,"Male","White"
32,103000,"Midwest","Bachelor",63,"Female","White"
45,5000,"South","High_School",19,"Female","White"
42,65000,"South","High_School",43,"Female","White"
3,8000,"Northeast","Bachelor",22,"Female","White"
35,70000,"Northeast","Bachelor",48,"Female","Other"
70,120000,"South","Below_High_School",48,"Male","Other"
20,1300,"South","High_School",19,"Male","Asian"
40,43700,"South","Some_College",24,"Male","White"
30,30000,"South","Bachelor",64,"Female","White"
40,80000,"South","High_School",41,"Male","White"
40,50000,"Midwest","Above_Bachelor",43,"Female","Asian"
6,500,"South","Bachelor",53,"Male","White"
40,40000,"Northeast","Bachelor",37,"Male","White"
40,40000,"West","Some_College",65,"Female","Other"
40,25000,"South","Some_College",61,"Female","Black"
40,45000,"Midwest","Some_College",35,"Female","White"
40,65000,"Midwest","High_School",30,"Male","White"
40,46000,"Midwest","Bachelor",28,"Female","White"
40,65000,"South","High_School",48,"Male","White"
40,50000,"Midwest","Bachelor",62,"Male","White"
40,57000,"South","Bachelor",40,"Female","White"
20,20000,"South","Above_Bachelor",23,"Female","White"
26,20200,"South","Some_College",40,"Female","White"
40,70000,"Midwest","Above_Bachelor",56,"Female","White"
36,25900,"South","Bachelor",31,"Female","White"
40,200000,"Northeast","Bachelor",30,"Male","White"
40,84000,"South","Bachelor",37,"Male","Other"
50,45000,"West","High_School",53,"Male","White"
40,35200,"West","Bachelor",26,"Female","White"
40,130000,"Midwest","Above_Bachelor",52,"Female","White"
40,50000,"Midwest","Some_College",37,"Female","White"
20,3000,"Midwest","Some_College",19,"Female","White"
40,60000,"South","Bachelor",27,"Female","White"
20,20000,"Northeast","Some_College",63,"Male","White"
40,25000,"West","Some_College",22,"Female","Other"
40,101000,"West","Above_Bachelor",27,"Male","White"
40,140000,"West","Above_Bachelor",58,"Male","Asian"
40,55000,"West","High_School",42,"Male","White"
8,14400,"West","High_School",52,"Female","Other"
55,108000,"South","High_School",58,"Male","White"
40,119000,"Northeast","Bachelor",55,"Female","White"
40,105000,"Northeast","High_School",55,"Female","White"
36,60000,"West","Some_College",36,"Male","White"
40,33000,"South","High_School",37,"Male","Black"
36,27900,"Midwest","High_School",62,"Female","White"
40,60000,"South","High_School",50,"Female","White"
40,64000,"West","High_School",51,"Female","White"
5,24700,"West","High_School",63,"Female","White"
40,31200,"Northeast","Below_High_School",45,"Female","Other"
12,8000,"South","Some_College",20,"Female","White"
40,80000,"Northeast","Above_Bachelor",57,"Female","White"
40,25000,"West","Bachelor",52,"Female","White"
40,35400,"Midwest","Above_Bachelor",46,"Female","White"
40,37000,"West","High_School",38,"Male","Other"
48,80000,"Midwest","Bachelor",55,"Female","White"
40,35000,"Northeast","Bachelor",48,"Female","White"
40,28000,"Midwest","Below_High_School",56,"Male","White"
40,75000,"West","Some_College",51,"Female","Asian"
40,26100,"Midwest","Above_Bachelor",34,"Female","White"
40,12000,"West","Above_Bachelor",43,"Male","White"
14,200,"South","High_School",18,"Male","White"
40,27000,"Northeast","Some_College",44,"Male","White"
40,58000,"West","Above_Bachelor",30,"Female","Other"
60,489000,"South","Above_Bachelor",60,"Male","White"
50,108000,"West","High_School",61,"Male","White"
45,160000,"Northeast","Below_High_School",45,"Male","White"
40,80000,"Midwest","Bachelor",53,"Female","White"
40,50000,"West","Bachelor",30,"Female","Other"
40,40000,"South","High_School",62,"Female","Black"
42,60000,"Northeast","Above_Bachelor",29,"Female","Asian"
38,108000,"Northeast","Above_Bachelor",28,"Female","Asian"
45,35000,"South","High_School",43,"Female","White"
40,19300,"South","Below_High_School",51,"Male","Black"
40,60000,"West","Above_Bachelor",49,"Female","Black"
40,53000,"Midwest","High_School",62,"Male","White"
40,42000,"South","Above_Bachelor",40,"Male","White"
10,250000,"West","Some_College",58,"Male","Other"
40,120000,"Northeast","Bachelor",28,"Male","Asian"
25,6000,"South","Some_College",19,"Male","White"
40,40000,"West","Some_College",22,"Male","Other"
50,75000,"South","Some_College",48,"Male","White"
40,43000,"Midwest","Bachelor",57,"Female","White"
50,110000,"West","Bachelor",37,"Female","Other"
38,39500,"West","Some_College",33,"Male","Other"
65,60000,"South","Bachelor",46,"Male","White"
40,76000,"West","High_School",46,"Female","White"
50,88000,"South","Some_College",50,"Male","White"
40,47700,"South","Above_Bachelor",39,"Female","White"
40,70000,"South","High_School",59,"Male","White"
60,109000,"Midwest","Bachelor",57,"Male","White"
50,46000,"Midwest","High_School",43,"Male","White"
40,30700,"Northeast","High_School",28,"Female","Other"
40,45000,"Midwest","High_School",21,"Female","Other"
15,5000,"West","High_School",58,"Female","White"
40,13200,"South","High_School",32,"Female","White"
37,22000,"South","High_School",65,"Female","Black"
40,30000,"Midwest","High_School",63,"Female","White"
40,200000,"West","Above_Bachelor",42,"Female","Asian"
40,100000,"South","Some_College",58,"Female","Black"
6,3000,"Midwest","Some_College",21,"Female","White"
40,29000,"West","Above_Bachelor",35,"Male","White"
40,140000,"South","Above_Bachelor",43,"Female","White"
40,133000,"West","Some_College",62,"Male","White"
42,74000,"Midwest","Bachelor",63,"Male","White"
70,91000,"South","High_School",63,"Male","White"
42,100000,"Northeast","Some_College",60,"Male","White"
50,75000,"Northeast","High_School",64,"Male","White"
10,3300,"Midwest","Bachelor",40,"Female","White"
40,185000,"South","Above_Bachelor",46,"Female","Asian"
40,71000,"West","Bachelor",40,"Female","White"
40,36000,"West","High_School",37,"Female","Other"
34,38000,"West","High_School",39,"Male","Other"
45,83000,"West","Some_College",54,"Male","Other"
40,73000,"West","Some_College",47,"Female","Black"
70,52000,"South","Above_Bachelor",26,"Female","White"
40,55000,"Midwest","Some_College",28,"Male","White"
60,160000,"South","Above_Bachelor",31,"Male","White"
40,38000,"Midwest","High_School",60,"Male","White"
16,10000,"Midwest","High_School",36,"Female","White"
40,18000,"Midwest","Some_College",60,"Male","White"
40,90000,"South","Bachelor",56,"Male","White"
30,25000,"Midwest","Bachelor",30,"Male","White"
45,574000,"South","Above_Bachelor",53,"Male","White"
40,88000,"Northeast","Above_Bachelor",54,"Female","White"
50,60000,"West","High_School",36,"Female","White"
30,14200,"West","High_School",49,"Male","Other"
18,11000,"West","High_School",57,"Female","Other"
40,88000,"South","High_School",61,"Male","Other"
43,45000,"South","High_School",37,"Female","Other"
20,10000,"South","Above_Bachelor",42,"Male","Black"
30,15600,"South","High_School",24,"Female","Other"
40,25000,"West","High_School",39,"Male","White"
14,3500,"South","Some_College",21,"Female","Other"
18,6600,"South","High_School",52,"Female","White"
4,2000,"Northeast","High_School",20,"Female","White"
36,115000,"West","High_School",47,"Male","White"
25,13000,"Northeast","Above_Bachelor",30,"Male","White"
24,17100,"West","Some_College",21,"Female","Other"
40,110000,"West","Bachelor",61,"Female","White"
38,52000,"South","Above_Bachelor",49,"Female","White"
55,140000,"Northeast","Bachelor",41,"Male","White"
55,72000,"Midwest","Some_College",58,"Female","White"
30,35000,"South","Some_College",26,"Female","Other"
40,75000,"South","Some_College",51,"Male","White"
68,17600,"Midwest","High_School",39,"Male","White"
45,105000,"West","Above_Bachelor",46,"Male","White"
40,30000,"Midwest","High_School",38,"Female","White"
50,118000,"South","High_School",50,"Male","Other"
40,16000,"West","Below_High_School",39,"Female","Other"
29,25000,"South","High_School",59,"Female","White"
60,770000,"Northeast","Bachelor",54,"Male","White"
50,25000,"Northeast","Bachelor",26,"Female","Other"
40,14000,"West","Some_College",37,"Female","Other"
40,444000,"South","Bachelor",57,"Male","White"
40,110000,"Midwest","Bachelor",39,"Male","White"
40,29000,"South","High_School",61,"Female","White"
45,40000,"Midwest","High_School",36,"Male","White"
40,22000,"West","Below_High_School",56,"Male","White"
40,60000,"West","Bachelor",37,"Male","Other"
40,100000,"Northeast","Above_Bachelor",50,"Female","White"
40,60000,"Northeast","High_School",40,"Female","Other"
40,89000,"Northeast","Some_College",50,"Female","Black"
40,40000,"Midwest","Bachelor",49,"Male","Other"
40,188000,"West","Bachelor",40,"Female","White"
32,39000,"South","Some_College",38,"Female","White"
48,124000,"South","Some_College",51,"Male","White"
15,7200,"West","Bachelor",36,"Female","White"
40,65000,"South","High_School",55,"Male","White"
20,13800,"Northeast","Some_College",22,"Female","Other"
40,31000,"Northeast","Below_High_School",46,"Female","Other"
50,190000,"Midwest","Above_Bachelor",36,"Female","White"
20,16000,"West","Some_College",27,"Male","Other"
45,75000,"West","Some_College",55,"Male","White"
25,30000,"Midwest","Bachelor",40,"Female","White"
40,112000,"West","High_School",29,"Male","White"
50,90000,"West","Some_College",62,"Female","White"
25,10600,"South","Some_College",51,"Female","White"
40,63000,"South","High_School",54,"Male","White"
20,5000,"West","Bachelor",22,"Male","White"
40,26400,"West","High_School",26,"Female","Other"
38,54000,"Midwest","Above_Bachelor",39,"Female","White"
40,150000,"West","Bachelor",23,"Male","Asian"
40,90000,"Midwest","Some_College",48,"Male","White"
40,52000,"Midwest","Bachelor",47,"Male","White"
35,76000,"South","High_School",56,"Male","White"
40,130000,"Midwest","High_School",26,"Female","White"
20,58000,"West","Bachelor",33,"Female","White"
40,48200,"Northeast","Bachelor",37,"Female","White"
35,29100,"Northeast","High_School",19,"Male","White"
36,54000,"South","Bachelor",32,"Female","White"
40,100000,"West","Above_Bachelor",47,"Female","White"
30,8300,"Midwest","Below_High_School",19,"Male","White"
40,85000,"Northeast","Above_Bachelor",50,"Female","White"
24,63000,"West","High_School",58,"Female","White"
52,115000,"South","Bachelor",43,"Male","White"
40,120000,"Northeast","Bachelor",40,"Male","White"
20,7000,"Northeast","Below_High_School",18,"Male","White"
20,8000,"Midwest","Some_College",22,"Male","Other"
40,25000,"West","High_School",26,"Male","Other"
40,60000,"Northeast","Bachelor",26,"Male","White"
40,64000,"Northeast","Some_College",42,"Female","White"
40,60000,"South","Bachelor",22,"Male","White"
40,40000,"Midwest","Bachelor",40,"Female","White"
40,86000,"South","Some_College",33,"Male","White"
1,130000,"West","Some_College",59,"Male","Other"
25,18000,"West","High_School",61,"Female","White"
40,35000,"Midwest","High_School",51,"Female","White"
40,8300,"West","Some_College",29,"Female","Other"
45,90000,"Northeast","Above_Bachelor",52,"Female","White"
40,76000,"Northeast","Bachelor",50,"Female","Black"
40,45000,"West","High_School",25,"Female","Other"
42,55000,"Midwest","Some_College",59,"Male","White"
35,23600,"South","High_School",57,"Female","White"
40,30000,"Midwest","High_School",37,"Male","White"
40,18000,"South","Bachelor",49,"Female","White"
42,80000,"Midwest","Some_College",52,"Male","White"
40,165000,"South","Bachelor",48,"Male","Other"
40,38000,"West","High_School",39,"Female","White"
40,80000,"Midwest","High_School",44,"Male","White"
40,90000,"West","High_School",39,"Male","Other"
40,100000,"Northeast","High_School",41,"Male","White"
50,24000,"South","High_School",21,"Male","Other"
40,15000,"Midwest","High_School",21,"Female","White"
40,70000,"Northeast","Some_College",37,"Male","White"
32,6000,"South","Some_College",19,"Female","White"
40,193000,"South","Bachelor",56,"Male","White"
5,3300,"Northeast","Bachelor",58,"Female","White"
45,68000,"Midwest","High_School",43,"Male","White"
40,56000,"Northeast","Above_Bachelor",38,"Female","White"
40,78000,"Midwest","Some_College",53,"Male","White"
40,45000,"Northeast","Above_Bachelor",24,"Male","White"
40,50000,"Northeast","Some_College",27,"Male","White"
18,17000,"West","Below_High_School",57,"Male","Other"
40,36800,"South","Bachelor",45,"Female","Other"
80,42000,"South","High_School",36,"Female","Black"
25,8300,"West","High_School",61,"Male","Other"
40,32400,"West","High_School",28,"Male","Other"
60,38000,"West","High_School",27,"Male","Other"
48,65000,"Midwest","High_School",52,"Male","White"
40,90000,"West","High_School",55,"Male","White"
40,50000,"Midwest","Some_College",47,"Male","Black"
12,2800,"Midwest","High_School",20,"Female","Other"
50,60000,"Northeast","Above_Bachelor",51,"Female","Black"
40,60000,"Northeast","Some_College",42,"Male","White"
1,1900,"South","Above_Bachelor",53,"Female","White"
40,36000,"Northeast","Above_Bachelor",52,"Female","Asian"
40,28000,"West","Some_College",20,"Female","White"
45,30000,"South","High_School",20,"Male","White"
8,6500,"Northeast","High_School",36,"Male","Other"
40,210000,"South","Bachelor",51,"Male","White"
40,120000,"West","High_School",41,"Male","White"
40,75000,"Midwest","Some_College",50,"Male","White"
60,120000,"South","Above_Bachelor",56,"Male","White"
60,726000,"Northeast","Bachelor",37,"Male","White"
40,50000,"South","Some_College",55,"Female","White"
40,48000,"West","Bachelor",23,"Female","White"
40,38000,"Midwest","Bachelor",61,"Female","White"
40,50000,"Northeast","High_School",49,"Male","White"
30,100000,"Northeast","Bachelor",59,"Male","White"
